customer_id,rfm_label,first_category_display,first_channel_display,winning_path_score,value_12m_proxy,margin_12m_proxy,days_since_last,conversion_alignment
3.14779e+18,Loyal,Skincare,Store,86.2,470.65999999999997,447.61999999999995,5,Channel aligned
3.18871e+18,Potential Loyalist,Others,Store,86.2,452.81,627.63,20,Channel aligned
7.45174e+18,Promising,Mixed Basket (Skincare + 8 others),Store,86.2,437.73,437.73,26,Channel aligned
2.32601e+18,Loyal,Make Up,Estore,86.2,390.78999999999996,394.28999999999996,5,Category aligned
9.01274e+18,Recent,Make Up,Store,86.2,389.38,514.78,18,Category and channel aligned
3.56987e+18,Promising,Fragrance,Store,86.2,185.98000000000002,185.98000000000002,4,Channel aligned
2.10951e+18,Need Attention,Others,Store,86.2,123.9,183.9,39,Channel aligned
2.86015e+18,About to Sleep,Fragrance,Store,86.2,69.88,99.88,15,Channel aligned
-6.33617e+18,Champions,Make Up,Store,86.1,1275.0,1275.0,106,Category and channel aligned
-2.68963e+18,Champions,Others,Store,86.1,876.85,1019.3,10,Channel aligned
7.54582e+18,Champions,Fragrance,Store,86.1,843.17,619.6899999999999,99,Channel aligned
-1.17968e+18,Champions,Fragrance,Store,86.1,833.46,652.07,28,Channel aligned
-5.24411e+18,Champions,Make Up,Estore,86.1,784.76,714.42,23,Category aligned
5.06345e+17,Champions,Make Up,Store,86.1,747.29,675.4599999999999,21,Category and channel aligned
8.21483e+18,Champions,Make Up,Estore,86.1,745.76,621.04,7,Category aligned
8.70883e+18,Champions,Haircare,Store,86.1,730.9,576.51,0,Channel aligned
-5.68606e+18,Champions,Make Up,Store,86.1,722.0699999999999,635.42,33,Category and channel aligned
-1.89796e+18,Champions,Make Up,Estore,86.1,721.36,594.96,4,Category aligned
6.3698e+18,Champions,Haircare,Estore,86.1,696.25,677.55,23,New pattern to test
-8.80068e+18,At Risk,Mixed Basket (Make Up + 12 others),Store,86.1,683.6899999999999,668.7199999999999,169,Channel aligned
5.43789e+18,Loyal,Make Up,Store,86.1,646.03,647.28,7,Category and channel aligned
4.16396e+18,Champions,Haircare,Estore,86.1,637.87,576.92,18,New pattern to test
-1.74607e+18,Champions,Make Up,Store,86.1,607.2,552.1500000000001,5,Category and channel aligned
7.24278e+18,Promising,Make Up,Store,86.1,575.0400000000001,552.19,12,Category and channel aligned
6.5556e+18,Loyal,Make Up,Store,86.1,558.93,537.28,27,Category and channel aligned
7.97731e+18,Loyal,Fragrance,Store,86.1,551.99,621.28,18,Channel aligned
1.63177e+18,Loyal,Make Up,Estore,86.1,534.59,457.42,5,Category aligned
5.62686e+18,Loyal,Fragrance,Store,86.1,531.78,488.03999999999996,15,Channel aligned
-3.81543e+18,Loyal,Skincare,Store,86.1,513.85,488.52000000000004,4,Channel aligned
-6.20491e+18,Loyal,Haircare,Estore,86.1,492.65999999999997,475.78999999999996,25,New pattern to test
4.93366e+17,Loyal,Make Up,Store,86.1,468.18,422.27,11,Category and channel aligned
3.74048e+18,Loyal,Mixed Basket (Skincare + 2 others),Store,86.1,444.29,376.32000000000005,30,Channel aligned
-4.27472e+17,Loyal,Mixed Basket (Make Up + 1 others),Store,86.1,401.83,398.53,7,Channel aligned
